中国	北京
韩国	首尔
朝鲜	平壤
日本	东京
马来西亚	吉隆坡
印度	新德里
巴基斯坦	伊斯兰堡
泰国	曼谷
越南	河内
斯里兰卡	斯里贾亚瓦德纳普拉科特
缅甸	内比都
孟加拉国	达卡
不丹	廷布
阿富汗	喀布尔
柬埔寨	金边
尼泊尔	加德满都
老挝	万象
英国	伦敦
罗马尼亚	布加勒斯特
法国	巴黎
波兰	华沙
瑞士	伯尔尼
瑞典	斯德哥尔摩
意大利	罗马
德国	柏林
摩纳哥	摩纳哥
拉脱维亚	里加
希腊	雅典
阿尔巴尼亚	地拉那
挪威	奥斯陆
塞尔维亚	贝尔格莱德
保加利亚	索非亚
爱沙尼亚	塔林
立陶宛	维尔纽斯
安哥拉	罗安达
埃塞俄比亚	亚的斯亚贝巴
埃及	开罗
中非	班吉
几内亚	科纳克里
几内亚比绍	比绍
博茨瓦纳	哈博罗内
布基纳法索	瓦加杜古
马达加斯加	塔那那利佛
马里	巴马科
马拉维	利隆圭
刚果民主共和国	金沙萨
赤道几内亚	马拉博
冈比亚	班珠尔
贝宁	波多诺伏
毛里求斯	路易港
毛里塔尼亚	努瓦克肖特
乌干达	坎帕拉
塞舌尔	维多利亚
塞拉利昂	弗里敦
美国	华盛顿
加拿大	渥太华
秘鲁	利马
海地	太子港
萨尔瓦多	圣萨尔瓦多
智利	圣地亚哥
古巴	哈瓦那
尼加拉瓜	马那瓜
巴哈马	拿骚
巴拿马	巴拿马城
玻利维亚	拉巴斯
格林纳达	圣乔治
澳大利亚	堪培拉
新西兰	惠灵顿
斐济	苏瓦
汤加	努库阿洛法
巴布亚新几内亚	莫尔兹比港
克什米尔 	查谟（冬）、斯利那加（夏）
库克群岛	阿瓦鲁阿
法属波利尼西亚	帕皮提
北马里亚纳群岛	塞班
百慕大群岛（英）	汉密尔顿
美属维尔京群岛	夏洛特阿马利亚
马提尼克岛（法）	法兰西堡
加那利群岛	拉斯帕尔马斯
马尔维纳斯群岛	斯坦利
以色列	耶路撒冷
也门	萨那
菲律宾	马尼拉
新加坡	新加坡
马尔代夫	马累
文莱	斯里巴加湾市
东帝汶	帝力
印度尼西亚	雅加达
伊拉克	巴格达
伊朗	德黑兰
约旦	安曼
沙特阿拉伯	利雅得
阿联酋	阿布扎比
阿曼	马斯喀特
科威特	科威特城
巴林	麦纳麦
叙利亚	大马士革
荷兰	阿姆斯特丹
爱尔兰	都柏林
捷克	布拉格
斯洛伐克	布拉迪斯拉发
葡萄牙	里斯本
斯洛文尼亚	卢布尔雅那
马其顿	斯科普里
克罗地亚	萨格勒布
梵蒂冈	梵蒂冈城
比利时	布鲁塞尔
马耳他	瓦莱塔
丹麦	哥本哈根
卢森堡	卢森堡市
波斯尼亚和黑塞哥维那	萨拉热窝
西班牙	马德里
圣马力诺	圣马力诺
匈牙利	布达佩斯
摩洛哥	拉巴特
布隆迪	布琼布拉
卢旺达	基加利
乍得	恩贾梅纳
尼日尔	尼亚美
尼日利亚	阿布贾
加纳	阿克拉
加蓬	利伯维尔
圣多美和普林西比	圣多美
吉布提	吉布提市
刚果	布拉柴维尔
多哥	洛美
苏丹	喀土穆
利比亚	的黎波里
利比里亚	蒙罗维亚
佛得角	普拉亚
阿尔及利亚	阿尔及尔
纳米比亚	温得和克
厄立特里亚	阿斯马拉
斯威士兰	姆巴巴纳
巴拉圭	亚松森
巴西	巴西利亚
洪都拉斯	特古西加尔巴
厄瓜多尔	基多
牙买加	金斯敦
